YEAR,APT_IATA,APT_AIRPORT,APT_COUNTRY,APT_LATITUDE,APT_LONGITUDE,FLT_TOT_1_ORIG,FLT_TOT_1_NORMALIZED
2017,INN,Innsbruck Airport (Kranebitten Airport),Austria,47.260201,11.344,19338,0.03804453677854963
2017,ISL,Istanbul Ataturk Airport,Türkiye,40.976898,28.8146,451081,0.8874323970733761
2017,IST,Istanbul Ataturk Airport,Türkiye,41.275278,28.751944,451081,0.8874323970733761
2017,JMK,Mykonos Island National Airport,Greece,37.43510056,25.34810066,14078,0.027696296864640695
2017,JSI,Skiathos Island National Airport,Greece,39.17710114,23.50370026,4199,0.008260885817206014
2017,JTR,Santorini (Thira) National Airport,Greece,36.39920044,25.47929955,16811,0.03307305345869262
2017,KBP,Boryspil International Airport,Ukraine,50.34500122,30.8946991,87593,0.17232573741046117
2017,KGS,Kos Island International Airport,Greece,36.79330063,27.0916996,17475,0.03437937119687428
2017,KIR,Kerry Airport (Farranfore Airport),Ireland,52.18090057,-9.523779869,4139,0.008142845057731768
2017,KIV,Chisinau International Airport,Moldova,46.92770004,28.93099976,27159,0.05343114977601766
2017,KLU,Klagenfurt Airport,Austria,46.642502,14.3377,7429,0.014615413368902949
2017,KLV,Karlovy Vary Airport,Czech Republic,50.20299911,12.91499996,1711,0.0033661289910072614
2017,KRK,John Paul II International Airport Krakow-Balice,Poland,50.077702,19.7848,49704,0.09778496514846577
2017,KTW,Katowice International Airport,Poland,50.4743,19.08,31765,0.062492745411657315
2017,KUN,Kaunas International Airport,Lithuania,54.96390152,24.08480072,11255,0.022142479131377398
2017,LAI,Lannion - Cote de Granit Airport,France,48.754398,-3.47166,1268,0.002494594716889075
2017,LBG,Paris-Le Bourget Airport,France,48.9693985,2.441390038,53955,0.10614815295721612
2017,LCA,Larnaca International Airport,Cyprus,34.87509918,33.62490082,62012,0.12199905960861619
2017,LCG,A Coruna Airport,Spain,43.302101,-8.37726,11301,0.02223297704697432
2017,LCJ,Lodz Wladyslaw Reymont Airport,Poland,51.72190094,19.3980999,3959,0.007788722779309028
